fare_id,origin_id,destination_id
F4,KLMT,MGRD
F4,KLMT,MACE
F4,KLMT,ERSH
F5,KLMT,KVTR
F5,KLMT,EMKM
F5,KLMT,VYTA
F5,KLMT,TKDM
F5,KLMT,PETT
F3,CCUV,ALVA
F3,CCUV,PNCU
F2,CCUV,CPPY
F2,CCUV,AATK
F2,CCUV,MUTT
F1,CCUV,KLMT
F1,CCUV,PDPM
F2,CCUV,EDAP
F2,CCUV,CGPP
F2,CCUV,PARV
F3,CCUV,JLSD
F3,CCUV,KALR
F3,CCUV,TNHL
F4,CCUV,MGRD
F4,CCUV,MACE
F4,CCUV,ERSH
F4,CCUV,KVTR
F5,CCUV,EMKM
F5,CCUV,VYTA
F5,CCUV,TKDM
F5,CCUV,PETT
F3,PDPM,ALVA
F3,PDPM,PNCU
F3,PDPM,CPPY
F2,PDPM,AATK
F2,PDPM,MUTT
F2,PDPM,KLMT
F1,PDPM,CCUV
F1,PDPM,EDAP
F2,PDPM,CGPP
F2,PDPM,PARV
F2,PDPM,JLSD
F3,PDPM,KALR
F3,PDPM,TNHL
F3,PDPM,MGRD
F4,PDPM,MACE
F4,PDPM,ERSH
F4,PDPM,KVTR
F4,PDPM,EMKM
F5,PDPM,VYTA
F5,PDPM,TKDM
F5,PDPM,PETT
F4,EDAP,ALVA
F3,EDAP,PNCU
F3,EDAP,CPPY
F3,EDAP,AATK
F2,EDAP,MUTT
F2,EDAP,KLMT
F2,EDAP,CCUV
F1,EDAP,PDPM
F1,EDAP,CGPP
F2,EDAP,PARV
F2,EDAP,JLSD
F2,EDAP,KALR
F3,EDAP,TNHL
F3,EDAP,MGRD
F3,EDAP,MACE
F4,EDAP,ERSH
F4,EDAP,KVTR
F4,EDAP,EMKM
F4,EDAP,VYTA
F5,EDAP,TKDM
F5,EDAP,PETT
F4,CGPP,ALVA
F4,CGPP,PNCU
F3,CGPP,CPPY
F3,CGPP,AATK
F3,CGPP,MUTT
F2,CGPP,KLMT
F2,CGPP,CCUV
F2,CGPP,PDPM
F1,CGPP,EDAP
F1,CGPP,PARV
F2,CGPP,JLSD
F2,CGPP,KALR
F2,CGPP,TNHL
F3,CGPP,MGRD
F3,CGPP,MACE
F3,CGPP,ERSH
F4,CGPP,KVTR
F4,CGPP,EMKM
F4,CGPP,VYTA
F4,CGPP,TKDM
F5,CGPP,PETT
F4,PARV,ALVA
F4,PARV,PNCU
F4,PARV,CPPY
F3,PARV,AATK
F3,PARV,MUTT
F3,PARV,KLMT
F2,PARV,CCUV
F2,PARV,PDPM
F2,PARV,EDAP
F1,PARV,CGPP
F1,PARV,JLSD
F2,PARV,KALR
F2,PARV,TNHL
F2,PARV,MGRD
F3,PARV,MACE
F3,PARV,ERSH
F3,PARV,KVTR
F4,PARV,EMKM
F4,PARV,VYTA
F4,PARV,TKDM
F4,PARV,PETT
F4,JLSD,ALVA
F4,JLSD,PNCU
F4,JLSD,CPPY
F4,JLSD,AATK
F3,JLSD,MUTT
F3,JLSD,KLMT
F3,JLSD,CCUV
F2,JLSD,PDPM
F2,JLSD,EDAP
F2,JLSD,CGPP
F1,JLSD,PARV
F1,JLSD,KALR
F2,JLSD,TNHL
F2,JLSD,MGRD
F2,JLSD,MACE
F3,JLSD,ERSH
F3,JLSD,KVTR
F3,JLSD,EMKM
F4,JLSD,VYTA
F4,JLSD,TKDM
F4,JLSD,PETT
F5,KALR,ALVA
F4,KALR,PNCU
F4,KALR,CPPY
F4,KALR,AATK
F4,KALR,MUTT
F3,KALR,KLMT
F3,KALR,CCUV
F3,KALR,PDPM
F2,KALR,EDAP
F2,KALR,CGPP
F2,KALR,PARV
F1,KALR,JLSD
F1,KALR,TNHL
F2,KALR,MGRD
F2,KALR,MACE
F2,KALR,ERSH
F3,KALR,KVTR
F3,KALR,EMKM
F3,KALR,VYTA
F4,KALR,TKDM
F4,KALR,PETT
F5,TNHL,ALVA
F5,TNHL,PNCU
F4,TNHL,CPPY
F4,TNHL,AATK
F4,TNHL,MUTT
F4,TNHL,KLMT
F3,TNHL,CCUV
F3,TNHL,PDPM
F3,TNHL,EDAP
F2,TNHL,CGPP
F2,TNHL,PARV
F2,TNHL,JLSD
F1,TNHL,KALR
F1,TNHL,MGRD
F2,TNHL,MACE
F2,TNHL,ERSH
F2,TNHL,KVTR
F3,TNHL,EMKM
F3,TNHL,VYTA
F3,TNHL,TKDM
F4,TNHL,PETT
F5,MGRD,ALVA
F5,MGRD,PNCU
F5,MGRD,CPPY
F4,MGRD,AATK
F4,MGRD,MUTT
F4,MGRD,KLMT
F4,MGRD,CCUV
F3,MGRD,PDPM
F3,MGRD,EDAP
F3,MGRD,CGPP
F2,MGRD,PARV
F2,MGRD,JLSD
F2,MGRD,KALR
F1,MGRD,TNHL
F1,MGRD,MACE
F2,MGRD,ERSH
F2,MGRD,KVTR
F2,MGRD,EMKM
F3,MGRD,VYTA
F3,MGRD,TKDM
F3,MGRD,PETT
F5,MACE,ALVA
F5,MACE,PNCU
F5,MACE,CPPY
F5,MACE,AATK
F4,MACE,MUTT
F4,MACE,KLMT
F4,MACE,CCUV
F4,MACE,PDPM
F3,MACE,EDAP
F3,MACE,CGPP
F3,MACE,PARV
F2,MACE,JLSD
F2,MACE,KALR
F2,MACE,TNHL
F1,MACE,MGRD
F1,MACE,ERSH
F2,MACE,KVTR
F2,MACE,EMKM
F2,MACE,VYTA
F3,MACE,TKDM
F3,MACE,PETT
F5,ERSH,ALVA
F5,ERSH,PNCU
F5,ERSH,CPPY
F5,ERSH,AATK
F5,ERSH,MUTT
F4,ERSH,KLMT
F4,ERSH,CCUV
F4,ERSH,PDPM
F4,ERSH,EDAP
F3,ERSH,CGPP
F3,ERSH,PARV
F3,ERSH,JLSD
F2,ERSH,KALR
F2,ERSH,TNHL
F2,ERSH,MGRD
F1,ERSH,MACE
F1,ERSH,KVTR
F2,ERSH,EMKM
F2,ERSH,VYTA
F2,ERSH,TKDM
F3,ERSH,PETT
F6,KVTR,ALVA
F5,KVTR,PNCU
F5,KVTR,CPPY
F5,KVTR,AATK
F5,KVTR,MUTT
F5,KVTR,KLMT
F4,KVTR,CCUV
F4,KVTR,PDPM
F4,KVTR,EDAP
F4,KVTR,CGPP
F3,KVTR,PARV
F3,KVTR,JLSD
F3,KVTR,KALR
F2,KVTR,TNHL
F2,KVTR,MGRD
F2,KVTR,MACE
F1,KVTR,ERSH
F1,KVTR,EMKM
F2,KVTR,VYTA
F2,KVTR,TKDM
F2,KVTR,PETT
F6,EMKM,ALVA
F6,EMKM,PNCU
F5,EMKM,CPPY
F5,EMKM,AATK
F5,EMKM,MUTT
F5,EMKM,KLMT
F5,EMKM,CCUV
F4,EMKM,PDPM
F4,EMKM,EDAP
F4,EMKM,CGPP
F4,EMKM,PARV
F3,EMKM,JLSD
F3,EMKM,KALR
F3,EMKM,TNHL
F2,EMKM,MGRD
F2,EMKM,MACE
F2,EMKM,ERSH
F1,EMKM,KVTR
F1,EMKM,VYTA
F2,EMKM,TKDM
F2,EMKM,PETT
F6,VYTA,ALVA
F6,VYTA,PNCU
F6,VYTA,CPPY
F5,VYTA,AATK
F5,VYTA,MUTT
F5,VYTA,KLMT
F5,VYTA,CCUV
F5,VYTA,PDPM
F4,VYTA,EDAP
F4,VYTA,CGPP
F4,VYTA,PARV
F4,VYTA,JLSD
F3,VYTA,KALR
F3,VYTA,TNHL
F3,VYTA,MGRD
F2,VYTA,MACE
F2,VYTA,ERSH
F2,VYTA,KVTR
F1,VYTA,EMKM
F1,VYTA,TKDM
F2,VYTA,PETT
F6,TKDM,ALVA
F6,TKDM,PNCU
F6,TKDM,CPPY
F6,TKDM,AATK
F5,TKDM,MUTT
F5,TKDM,KLMT
F5,TKDM,CCUV
F5,TKDM,PDPM
F5,TKDM,EDAP
F4,TKDM,CGPP
F4,TKDM,PARV
F4,TKDM,JLSD
F4,TKDM,KALR
F3,TKDM,TNHL
F3,TKDM,MGRD
F3,TKDM,MACE
F2,TKDM,ERSH
F2,TKDM,KVTR
F2,TKDM,EMKM
F1,TKDM,VYTA
F1,TKDM,PETT
F6,PETT,ALVA
F6,PETT,PNCU
F6,PETT,CPPY
F6,PETT,AATK
F6,PETT,MUTT
F5,PETT,KLMT
F5,PETT,CCUV
F5,PETT,PDPM
F5,PETT,EDAP
F5,PETT,CGPP
F4,PETT,PARV
F4,PETT,JLSD
F4,PETT,KALR
F4,PETT,TNHL
F3,PETT,MGRD
F3,PETT,MACE
F3,PETT,ERSH
F2,PETT,KVTR
F2,PETT,EMKM
F2,PETT,VYTA
F1,PETT,TKDM
